id_15_min_candles,company_id,timestamp,Open,Close,High,Low,Volume,temp_id
1108675,56,"2014-10-27 09:15:00",140.90,142.05,145.40,140.15,1530167,1089699
1108676,56,"2014-10-27 09:30:00",142.00,141.65,142.15,141.45,197990,1089700
1108677,56,"2014-10-27 09:45:00",141.70,141.30,141.70,141.20,235041,1089701
1108678,56,"2014-10-27 10:00:00",141.30,141.40,141.55,141.25,125067,1089702
1108679,56,"2014-10-27 10:15:00",141.40,140.95,141.55,140.95,146031,1089703
1108680,56,"2014-10-27 10:30:00",140.95,141.25,141.55,140.75,98628,1089704
1108681,56,"2014-10-27 10:45:00",141.30,140.95,141.40,140.90,61002,1089705
1108682,56,"2014-10-27 11:00:00",140.95,141.00,141.00,140.80,54211,1089706
1108683,56,"2014-10-27 11:15:00",140.95,141.00,141.00,140.95,53241,1089707
1108684,56,"2014-10-27 11:30:00",141.00,140.95,141.00,140.85,133860,1089708
1108685,56,"2014-10-27 11:45:00",140.95,140.95,141.00,140.90,138232,1089709
1108686,56,"2014-10-27 12:00:00",140.90,140.95,141.00,140.90,110272,1089710
1108687,56,"2014-10-27 12:15:00",140.90,140.95,141.00,140.90,146355,1089711
1108688,56,"2014-10-27 12:30:00",140.95,140.95,141.00,140.90,181136,1089712
1108689,56,"2014-10-27 12:45:00",140.95,140.95,141.00,140.90,143802,1089713
1108690,56,"2014-10-27 13:00:00",140.95,140.95,140.95,140.70,241045,1089714
1108691,56,"2014-10-27 13:15:00",140.95,140.80,140.95,140.70,201501,1089715
1108692,56,"2014-10-27 13:30:00",140.75,140.70,141.00,140.60,199908,1089716
1108693,56,"2014-10-27 13:45:00",140.70,140.95,141.20,140.50,373713,1089717
1108694,56,"2014-10-27 14:00:00",140.90,141.00,141.20,140.90,248164,1089718
1108695,56,"2014-10-27 14:15:00",141.05,142.30,142.30,141.00,324428,1089719
1108696,56,"2014-10-27 14:30:00",142.25,142.40,142.50,142.10,318938,1089720
1108697,56,"2014-10-27 14:45:00",142.35,142.30,142.45,142.15,196220,1089721
1108698,56,"2014-10-27 15:00:00",142.30,142.10,142.30,142.05,302880,1089722
1108699,56,"2014-10-27 15:15:00",142.10,142.00,142.20,141.75,431421,1089723
1108700,56,"2014-10-28 09:15:00",141.85,140.60,142.10,140.45,231157,1089724
1108701,56,"2014-10-28 09:30:00",140.65,141.00,141.00,140.60,89094,1089725
1108702,56,"2014-10-28 09:45:00",141.00,140.95,141.10,140.80,132183,1089726
1108703,56,"2014-10-28 10:00:00",140.95,140.95,141.10,140.60,115723,1089727
1108704,56,"2014-10-28 10:15:00",141.00,141.00,141.05,140.90,70888,1089728
1108705,56,"2014-10-28 10:30:00",141.00,140.95,141.10,140.80,105541,1089729
1108706,56,"2014-10-28 10:45:00",140.95,140.85,141.05,140.65,170614,1089730
1108707,56,"2014-10-28 11:00:00",140.85,140.75,140.90,140.75,58309,1089731
1108708,56,"2014-10-28 11:15:00",140.75,140.20,140.90,139.80,226495,1089732
1108709,56,"2014-10-28 11:30:00",140.20,140.65,140.70,140.10,36909,1089733
1108710,56,"2014-10-28 11:45:00",140.70,140.40,140.70,140.10,96046,1089734
1108711,56,"2014-10-28 12:00:00",140.35,140.45,140.90,139.90,184791,1089735
1108712,56,"2014-10-28 12:15:00",140.50,140.80,141.05,140.45,260980,1089736
1108713,56,"2014-10-28 12:30:00",140.80,140.80,140.95,140.65,60927,1089737
1108714,56,"2014-10-28 12:45:00",140.80,140.75,140.95,140.50,70906,1089738
1108715,56,"2014-10-28 13:00:00",140.60,140.75,141.00,140.45,119947,1089739
1108716,56,"2014-10-28 13:15:00",140.75,140.60,141.00,140.50,85907,1089740
1108717,56,"2014-10-28 13:30:00",140.60,140.65,140.80,140.50,51816,1089741
1108718,56,"2014-10-28 13:45:00",140.65,140.90,141.00,140.65,130475,1089742
1108719,56,"2014-10-28 14:00:00",140.90,140.95,141.00,140.85,168461,1089743
1108720,56,"2014-10-28 14:15:00",140.90,140.95,141.00,140.65,137823,1089744
1108721,56,"2014-10-28 14:30:00",140.95,141.40,141.50,140.90,225769,1089745
1108722,56,"2014-10-28 14:45:00",141.40,141.50,141.90,141.00,161566,1089746
1108723,56,"2014-10-28 15:00:00",141.55,142.50,142.75,141.55,378125,1089747
1108724,56,"2014-10-28 15:15:00",142.50,142.50,142.90,142.35,571845,1089748
