Company,id_15_min_candles,timestamp,Open,Close,High,Low,Volume,id_15_min_candles,timestamp,Open,Close,High,Low,Volume
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17346,"2015-04-29 13:45:00",1531.55,1539.60,1546.25,1530.40,18645
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17347,"2015-04-29 14:00:00",1539.60,1529.75,1539.60,1528.35,10254
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17348,"2015-04-29 14:15:00",1531.00,1522.85,1533.30,1520.00,12980
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17349,"2015-04-29 14:30:00",1522.85,1489.95,1522.85,1485.25,36120
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17350,"2015-04-29 14:45:00",1490.50,1488.75,1504.45,1488.75,25989
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17351,"2015-04-29 15:00:00",1488.00,1487.10,1497.90,1483.95,16955
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17352,"2015-04-29 15:15:00",1487.10,1480.15,1487.90,1479.55,31470
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17353,"2015-04-30 09:15:00",1477.00,1472.65,1486.20,1467.40,24697
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17354,"2015-04-30 09:30:00",1473.20,1469.50,1473.20,1461.00,12565
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17355,"2015-04-30 09:45:00",1469.50,1468.35,1475.95,1467.55,8950
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17356,"2015-04-30 10:00:00",1468.35,1464.70,1471.00,1458.30,12838
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17357,"2015-04-30 10:15:00",1464.70,1463.85,1465.90,1460.00,12128
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17358,"2015-04-30 10:30:00",1463.85,1461.70,1464.85,1456.40,11814
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17359,"2015-04-30 10:45:00",1461.70,1454.50,1465.00,1450.05,22798
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17360,"2015-04-30 11:00:00",1454.50,1458.00,1459.65,1454.50,6805
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17361,"2015-04-30 11:15:00",1458.75,1457.60,1461.80,1454.80,7606
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17362,"2015-04-30 11:30:00",1457.60,1460.25,1461.70,1456.40,4184
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17363,"2015-04-30 11:45:00",1460.25,1471.40,1472.85,1460.00,16874
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17364,"2015-04-30 12:00:00",1471.30,1468.50,1475.00,1468.50,10546
ACC,17345,"2015-04-29 13:30:00",1531.10,1532.00,1533.75,1521.70,8264,17365,"2015-04-30 12:15:00",1468.50,1468.00,1472.85,1462.55,7514
ACC,17525,"2015-05-11 14:45:00",1487.00,1491.80,1494.50,1477.00,21066,17526,"2015-05-11 15:00:00",1492.90,1496.00,1500.05,1491.25,24059
ACC,17525,"2015-05-11 14:45:00",1487.00,1491.80,1494.50,1477.00,21066,17527,"2015-05-11 15:15:00",1496.00,1494.50,1508.90,1493.50,46894
ACC,17525,"2015-05-11 14:45:00",1487.00,1491.80,1494.50,1477.00,21066,17528,"2015-05-12 09:15:00",1476.30,1475.00,1495.00,1470.15,20834
ACC,17525,"2015-05-11 14:45:00",1487.00,1491.80,1494.50,1477.00,21066,17529,"2015-05-12 09:30:00",1474.05,1463.80,1475.00,1461.55,14603
ACC,17525,"2015-05-11 14:45:00",1487.00,1491.80,1494.50,1477.00,21066,17530,"2015-05-12 09:45:00",1463.80,1461.45,1464.10,1456.00,7706
ACC,17525,"2015-05-11 14:45:00",1487.00,1491.80,1494.50,1477.00,21066,17531,"2015-05-12 10:00:00",1461.45,1460.05,1466.85,1452.45,9320
