companyID,MainCandleTime,MainCandleClose,MinCandleTime,MinCLose,MaxLoss,Name
1,"2017-02-01 14:30:00",1470.60,"2017-02-01 15:00:00",1468.25,2.35,ACC
2,"2018-02-02 13:00:00",424.95,"2018-02-02 15:15:00",417.05,7.90,ADANIPORTS
2,"2016-02-17 11:30:00",206.45,"2016-02-17 13:00:00",205.00,1.45,ADANIPORTS
2,"2016-02-17 12:00:00",205.90,"2016-02-17 13:00:00",205.00,0.90,ADANIPORTS
2,"2016-02-17 11:30:00",206.45,"2016-02-17 13:15:00",205.00,1.45,ADANIPORTS
2,"2016-02-17 12:00:00",205.90,"2016-02-17 13:15:00",205.00,0.90,ADANIPORTS
2,"2016-01-14 12:45:00",231.75,"2016-01-14 14:30:00",225.75,6.00,ADANIPORTS
2,"2016-01-19 14:15:00",231.25,"2016-01-19 14:30:00",230.00,1.25,ADANIPORTS
2,"2015-08-25 14:15:00",345.90,"2015-08-25 15:00:00",344.00,1.90,ADANIPORTS
3,"2017-07-10 13:45:00",254.25,"2017-07-10 15:00:00",254.00,0.25,AMBUJACEM
3,"2016-06-24 13:30:00",244.25,"2016-06-24 13:45:00",245.20,-0.95,AMBUJACEM
4,"2017-12-18 10:30:00",114.65,"2017-12-18 14:00:00",114.00,0.65,ASHOKLEY
4,"2016-02-12 15:00:00",83.40,"2016-02-12 15:15:00",83.25,0.15,ASHOKLEY
4,"2016-02-17 12:00:00",87.95,"2016-02-17 12:30:00",87.50,0.45,ASHOKLEY
4,"2015-08-25 15:00:00",86.20,"2015-08-25 15:15:00",87.15,-0.95,ASHOKLEY
4,"2015-09-29 13:00:00",90.95,"2015-09-29 13:15:00",90.75,0.20,ASHOKLEY
4,"2015-02-18 15:00:00",69.50,"2015-02-18 15:15:00",68.95,0.55,ASHOKLEY
4,"2015-02-28 14:30:00",68.50,"2015-02-28 14:45:00",68.65,-0.15,ASHOKLEY
4,"2014-11-12 13:45:00",53.80,"2014-11-12 15:00:00",53.25,0.55,ASHOKLEY
4,"2014-11-13 09:45:00",55.60,"2014-11-13 14:15:00",53.75,1.85,ASHOKLEY
6,"2017-09-29 13:45:00",701.20,"2017-09-29 15:00:00",690.85,10.35,AUROPHARMA
6,"2017-11-02 09:45:00",792.65,"2017-11-02 12:15:00",783.65,9.00,AUROPHARMA
6,"2017-06-01 09:45:00",600.95,"2017-06-01 14:45:00",583.00,17.95,AUROPHARMA
6,"2017-06-01 11:00:00",594.50,"2017-06-01 15:15:00",578.70,15.80,AUROPHARMA
6,"2017-02-06 12:45:00",703.45,"2017-02-06 13:45:00",701.10,2.35,AUROPHARMA
6,"2017-02-06 13:30:00",703.05,"2017-02-06 13:45:00",701.10,1.95,AUROPHARMA
6,"2016-06-24 14:00:00",690.05,"2016-06-24 14:15:00",692.05,-2.00,AUROPHARMA
6,"2016-02-10 13:45:00",684.05,"2016-02-10 15:15:00",692.05,-8.00,AUROPHARMA
6,"2016-02-11 12:00:00",685.40,"2016-02-11 15:15:00",641.00,44.40,AUROPHARMA
6,"2015-08-19 11:00:00",807.00,"2015-08-19 11:30:00",806.05,0.95,AUROPHARMA
6,"2015-08-25 12:45:00",734.55,"2015-08-25 15:00:00",731.00,3.55,AUROPHARMA
6,"2015-08-25 14:15:00",733.00,"2015-08-25 15:00:00",731.00,2.00,AUROPHARMA
6,"2015-07-31 12:00:00",752.50,"2015-07-31 12:15:00",751.30,1.20,AUROPHARMA
6,"2015-02-11 14:00:00",556.00,"2015-02-11 14:15:00",549.08,6.92,AUROPHARMA
6,"2015-02-26 14:45:00",511.53,"2015-02-26 15:00:00",513.73,-2.20,AUROPHARMA
7,"2015-02-28 12:30:00",585.00,"2015-02-28 13:15:00",590.60,-5.60,AXISBANK
7,"2016-11-09 11:00:00",479.40,"2016-11-09 12:15:00",478.35,1.05,AXISBANK
7,"2016-11-09 11:30:00",480.80,"2016-11-09 12:15:00",478.35,2.45,AXISBANK
9,"2016-11-09 13:45:00",3019.80,"2016-11-09 14:15:00",2997.50,22.30,BAJAJFINSV
9,"2016-11-16 11:30:00",2950.05,"2016-11-16 15:15:00",2920.10,29.95,BAJAJFINSV
9,"2016-10-14 11:15:00",3215.30,"2016-10-14 15:15:00",3174.00,41.30,BAJAJFINSV
9,"2016-06-24 14:00:00",2061.00,"2016-06-24 14:30:00",2057.00,4.00,BAJAJFINSV
9,"2016-06-24 14:15:00",2066.00,"2016-06-24 14:30:00",2057.00,9.00,BAJAJFINSV
9,"2016-04-13 10:15:00",1831.00,"2016-04-13 15:00:00",1820.00,11.00,BAJAJFINSV
9,"2016-04-13 10:15:00",1831.00,"2016-04-13 15:15:00",1820.00,11.00,BAJAJFINSV
9,"2016-04-18 10:30:00",1890.00,"2016-04-18 14:30:00",1863.10,26.90,BAJAJFINSV
9,"2016-05-02 11:00:00",1888.70,"2016-05-02 11:30:00",1882.05,6.65,BAJAJFINSV
9,"2016-03-01 14:45:00",1680.00,"2016-03-01 15:15:00",1685.35,-5.35,BAJAJFINSV
9,"2015-09-01 10:00:00",1838.00,"2015-09-01 14:45:00",1771.70,66.30,BAJAJFINSV
9,"2015-06-29 11:45:00",1505.00,"2015-06-29 12:30:00",1501.70,3.30,BAJAJFINSV
9,"2015-07-06 10:00:00",1747.95,"2015-07-06 11:30:00",1708.50,39.45,BAJAJFINSV
9,"2015-07-06 10:45:00",1735.00,"2015-07-06 11:30:00",1708.50,26.50,BAJAJFINSV
9,"2015-08-07 10:00:00",2021.00,"2015-08-07 13:30:00",2008.85,12.15,BAJAJFINSV
9,"2015-02-02 13:45:00",1508.95,"2015-02-02 14:15:00",1499.00,9.95,BAJAJFINSV
9,"2014-10-20 11:15:00",1043.00,"2014-10-20 15:15:00",1017.00,26.00,BAJAJFINSV
9,"2014-12-17 11:15:00",1299.95,"2014-12-17 15:15:00",1285.00,14.95,BAJAJFINSV
10,"2017-01-30 13:45:00",1043.00,"2017-01-30 14:15:00",1034.35,8.65,BAJFINANCE
10,"2016-11-09 13:00:00",911.00,"2016-11-09 13:15:00",916.50,-5.50,BAJFINANCE
10,"2016-11-25 14:45:00",872.85,"2016-11-25 15:15:00",873.80,-0.95,BAJFINANCE
10,"2016-08-01 11:30:00",1126.61,"2016-08-01 12:30:00",1096.80,29.81,BAJFINANCE
10,"2016-03-01 13:30:00",621.71,"2016-03-01 14:15:00",619.48,2.23,BAJFINANCE
10,"2015-10-20 14:45:00",531.61,"2015-10-20 15:00:00",528.43,3.18,BAJFINANCE
10,"2015-05-08 10:15:00",425.69,"2015-05-08 13:30:00",420.49,5.20,BAJFINANCE
10,"2015-01-14 10:15:00",357.50,"2015-01-14 11:15:00",356.90,0.60,BAJFINANCE
10,"2015-01-28 10:15:00",441.00,"2015-01-28 15:15:00",428.00,13.00,BAJFINANCE
